seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
29,1706571573.0,,41.97353,-87.90025,6.0,425412.2158401084,4647229.206875121,16,T,1.0,"$GPGGA,183933.000,4158.4118,N,08754.0150,W,1,06,1.9,143.8,M,-34.1,M,,0000*68"
30,1706571574.0,,41.97352333333333,-87.90025,6.0,425412.20806130604,4647228.466676368,16,T,1.0,"$GPGGA,183934.000,4158.4114,N,08754.0150,W,1,06,1.9,144.4,M,-34.1,M,,0000*68"
31,1706571575.0,,41.97351666666667,-87.90024833333334,6.0,425412.3383709242,4647227.725026434,16,T,1.0,"$GPGGA,183935.000,4158.4110,N,08754.0149,W,1,06,1.9,145.0,M,-34.1,M,,0000*60"
32,1706571576.0,,41.97351,-87.90024666666666,6.0,425412.4686805722,4647226.983376505,16,T,1.0,"$GPGGA,183936.000,4158.4106,N,08754.0148,W,1,06,1.9,145.6,M,-34.1,M,,0000*63"
33,1706571577.0,,41.973505,-87.90024666666666,6.0,425412.46284649416,4647226.428227442,16,T,1.0,"$GPGGA,183937.000,4158.4103,N,08754.0148,W,1,06,1.9,146.2,M,-34.1,M,,0000*60"
34,1706571578.0,,41.97349833333333,-87.900245,6.0,425412.59315617935,4647225.686577518,16,T,1.0,"$GPGGA,183938.000,4158.4099,N,08754.0147,W,1,06,1.9,146.7,M,-34.1,M,,0000*67"
35,1706571579.0,,41.973495,-87.900245,6.0,425412.589266802,4647225.316478143,16,T,1.0,"$GPGGA,183939.000,4158.4097,N,08754.0147,W,1,06,1.9,147.0,M,-34.1,M,,0000*6E"
36,1706571580.0,,41.97349166666667,-87.90024333333334,6.0,425412.72346589854,4647224.9449275965,16,T,1.0,"$GPGGA,183940.000,4158.4095,N,08754.0146,W,1,06,1.9,147.3,M,-34.1,M,,0000*60"
37,1706571581.0,,41.973488333333336,-87.90024333333334,6.0,425412.71957652894,4647224.574828221,16,T,1.0,"$GPGGA,183941.000,4158.4093,N,08754.0146,W,1,06,1.9,147.6,M,-34.1,M,,0000*62"
38,1706571582.0,,41.973483333333334,-87.90024166666667,6.0,425412.85183096444,4647224.018227991,16,T,1.0,"$GPGGA,183942.000,4158.4090,N,08754.0145,W,1,06,1.9,147.9,M,-34.1,M,,0000*6E"
39,1706571583.0,,41.973483333333334,-87.90024166666667,6.0,425412.85183096444,4647224.018227991,16,T,1.0,"$GPGGA,183943.000,4158.4090,N,08754.0145,W,1,06,1.9,148.1,M,-34.1,M,,0000*68"
40,1706571584.0,,41.973481666666665,-87.90024166666667,6.0,425412.8498862835,4647223.833178304,16,T,1.0,"$GPGGA,183944.000,4158.4089,N,08754.0145,W,1,06,1.9,148.2,M,-34.1,M,,0000*64"
41,1706571585.0,,41.97348,-87.90024166666667,6.0,425412.8479416027,4647223.648128618,16,T,1.0,"$GPGGA,183945.000,4158.4088,N,08754.0145,W,1,06,1.9,148.3,M,-34.1,M,,0000*65"
42,1706571586.0,,41.97348,-87.90024166666667,6.0,425412.8479416027,4647223.648128618,16,T,1.0,"$GPGGA,183946.000,4158.4088,N,08754.0145,W,1,06,1.9,148.3,M,-34.1,M,,0000*66"
43,1706571587.0,,41.97347833333333,-87.90024166666667,6.0,425412.8459969219,4647223.46307893,16,T,1.0,"$GPGGA,183947.000,4158.4087,N,08754.0145,W,1,06,1.9,148.4,M,-34.1,M,,0000*6F"
44,1706571588.0,,41.97347833333333,-87.90024166666667,6.0,425412.8459969219,4647223.46307893,16,T,1.0,"$GPGGA,183948.000,4158.4087,N,08754.0145,W,1,06,1.9,148.5,M,-34.1,M,,0000*61"
45,1706571589.0,,41.97347833333333,-87.90024166666667,6.0,425412.8459969219,4647223.46307893,16,T,1.0,"$GPGGA,183949.000,4158.4087,N,08754.0145,W,1,06,1.9,148.5,M,-34.1,M,,0000*60"
46,1706571590.0,,41.97347666666667,-87.90024,6.0,425412.98214074713,4647223.27657808,16,T,1.0,"$GPGGA,183950.000,4158.4086,N,08754.0144,W,1,06,1.9,148.6,M,-34.1,M,,0000*6B"
47,1706571591.0,,41.97347666666667,-87.90024,6.0,425412.98214074713,4647223.27657808,16,T,1.0,"$GPGGA,183951.000,4158.4086,N,08754.0144,W,1,06,1.9,148.7,M,-34.1,M,,0000*6B"
48,1706571592.0,,41.973475,-87.90024,6.0,425412.9801960701,4647223.091528391,16,T,1.0,"$GPGGA,183952.000,4158.4085,N,08754.0144,W,1,06,1.9,148.7,M,-34.1,M,,0000*6B"
49,1706571593.0,,41.973475,-87.90024,6.0,425412.9801960701,4647223.091528391,16,T,1.0,"$GPGGA,183953.000,4158.4085,N,08754.0144,W,1,06,1.9,148.8,M,-34.1,M,,0000*65"
50,1706571594.0,,41.973475,-87.90024,6.0,425412.9801960701,4647223.091528391,16,T,1.0,"$GPGGA,183954.000,4158.4085,N,08754.0144,W,1,06,1.9,148.8,M,-34.1,M,,0000*62"
51,1706571595.0,,41.97347333333333,-87.90024,6.0,425412.97825139307,4647222.906478703,16,T,1.0,"$GPGGA,183955.000,4158.4084,N,08754.0144,W,1,06,1.9,148.8,M,-34.1,M,,0000*62"
52,1706571596.0,,41.97347333333333,-87.90024,6.0,425412.97825139307,4647222.906478703,16,T,1.0,"$GPGGA,183956.000,4158.4084,N,08754.0144,W,1,06,1.9,148.9,M,-34.1,M,,0000*60"
53,1706571597.0,,41.97347333333333,-87.90024,6.0,425412.97825139307,4647222.906478703,16,T,1.0,"$GPGGA,183957.000,4158.4084,N,08754.0144,W,1,06,1.9,148.9,M,-34.1,M,,0000*61"
54,1706571598.0,,41.97347166666667,-87.90024,6.0,425412.97630671615,4647222.721429018,16,T,1.0,"$GPGGA,183958.000,4158.4083,N,08754.0144,W,1,06,1.9,149.0,M,-34.1,M,,0000*61"
55,1706571599.0,,41.97347166666667,-87.90024,6.0,425412.97630671615,4647222.721429018,16,T,1.0,"$GPGGA,183959.000,4158.4083,N,08754.0144,W,1,06,1.9,149.0,M,-34.1,M,,0000*60"
56,1706571600.0,,41.97347166666667,-87.90024,6.0,425412.97630671615,4647222.721429018,16,T,1.0,"$GPGGA,184000.000,4158.4083,N,08754.0144,W,1,06,1.9,149.0,M,-34.1,M,,0000*62"
57,1706571601.0,,41.97347166666667,-87.90024,6.0,425412.97630671615,4647222.721429018,16,T,1.0,"$GPGGA,184001.000,4158.4083,N,08754.0144,W,1,06,1.9,149.1,M,-34.1,M,,0000*62"
58,1706571602.0,,41.97347,-87.90024,6.0,425412.97436203924,4647222.536379331,16,T,1.0,"$GPGGA,184002.000,4158.4082,N,08754.0144,W,1,06,1.9,149.2,M,-34.1,M,,0000*63"
