seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gngga_read,fix_quality
404,1707497520.0,GPS1_Frame,42.33823988,-71.086507645,23.329,328114.928454224,4689440.0983820325,19,T,0.8,"$GNGGA,165200.00,4220.2943928,N,07105.1904587,W,5,18,0.8,23.329,M,-28.725,M,1.0,0061*5D",0
405,1707497521.0,GPS1_Frame,42.338239905,-71.08650764333333,23.333,328114.928659646,4689440.101154723,19,T,0.8,"$GNGGA,165201.00,4220.2943943,N,07105.1904586,W,5,18,0.8,23.333,M,-28.725,M,2.0,0061*58",0
406,1707497522.0,GPS1_Frame,42.338239875,-71.08650757666666,23.335,328114.9340700902,4689440.097688686,19,T,0.8,"$GNGGA,165202.00,4220.2943925,N,07105.1904546,W,5,18,0.8,23.335,M,-28.725,M,1.0,0061*52",0
407,1707497523.0,GPS1_Frame,42.33823987,-71.08650750666666,23.331,328114.93982325844,4689440.096991972,19,T,0.8,"$GNGGA,165203.00,4220.2943922,N,07105.1904504,W,5,18,0.8,23.331,M,-28.725,M,2.0,0061*55",0
408,1707497524.0,GPS1_Frame,42.338239845,-71.08650748166667,23.336,328114.9418147073,4689440.0941653745,19,T,0.8,"$GNGGA,165204.00,4220.2943907,N,07105.1904489,W,5,18,0.8,23.336,M,-28.725,M,1.0,0061*55",0
409,1707497525.0,GPS1_Frame,42.33823981333333,-71.08650746666666,23.328,328114.94296416646,4689440.090618711,19,T,0.8,"$GNGGA,165205.00,4220.2943888,N,07105.1904480,W,5,18,0.8,23.328,M,-28.725,M,2.0,0061*57",0
410,1707497526.0,GPS1_Frame,42.33823972333333,-71.08650742166667,23.323,328114.9464261674,4689440.080533929,19,T,0.8,"$GNGGA,165206.00,4220.2943834,N,07105.1904453,W,5,18,0.8,23.323,M,-28.725,M,1.0,0061*55",0
411,1707497527.0,GPS1_Frame,42.338239613333336,-71.08650737833334,23.32,328114.94969636784,4689440.068231671,19,T,0.8,"$GNGGA,165207.00,4220.2943768,N,07105.1904427,W,5,18,0.8,23.320,M,-28.725,M,1.0,0061*52",0
412,1707497528.0,GPS1_Frame,42.33823947166667,-71.08650728166667,23.312,328114.9572740317,4689440.052305258,19,T,0.8,"$GNGGA,165208.00,4220.2943683,N,07105.1904369,W,5,18,0.8,23.312,M,-28.725,M,2.0,0061*56",0
413,1707497529.0,GPS1_Frame,42.33823940333333,-71.08650721,23.307,328114.96299194323,4689440.044572489,19,T,0.8,"$GNGGA,165209.00,4220.2943642,N,07105.1904326,W,5,18,0.8,23.307,M,-28.725,M,1.0,0061*56",0
414,1707497530.0,GPS1_Frame,42.33823934,-71.08650714,23.301,328114.96858616994,4689440.037398302,19,T,0.8,"$GNGGA,165210.00,4220.2943604,N,07105.1904284,W,5,18,0.8,23.301,M,-28.725,M,1.0,0061*53",0
415,1707497531.0,GPS1_Frame,42.338239316666666,-71.08650710166667,23.288,328114.9716805975,4689440.034729823,19,T,0.8,"$GNGGA,165211.00,4220.2943590,N,07105.1904261,W,5,18,0.8,23.288,M,-28.725,M,2.0,0061*54",0
416,1707497532.0,GPS1_Frame,42.338239275,-71.08650708833333,23.284,328114.9726655055,4689440.030076105,19,T,0.8,"$GNGGA,165212.00,4220.2943565,N,07105.1904253,W,5,18,0.8,23.284,M,-28.725,M,1.0,0061*53",0
417,1707497533.0,GPS1_Frame,42.338239215,-71.086507065,23.275,328114.9744242874,4689440.023366394,19,T,0.8,"$GNGGA,165213.00,4220.2943529,N,07105.1904239,W,5,18,0.8,23.275,M,-28.725,M,1.0,0061*58",0
418,1707497534.0,GPS1_Frame,42.33823917,-71.08650705333334,23.263,328114.9752628066,4689440.018345904,19,T,0.8,"$GNGGA,165214.00,4220.2943502,N,07105.1904232,W,5,18,0.8,23.263,M,-28.725,M,2.0,0061*59",0
419,1707497535.0,GPS1_Frame,42.33823912,-71.086507085,23.262,328114.97251778544,4689440.012857796,19,T,0.8,"$GNGGA,165215.00,4220.2943472,N,07105.1904251,W,5,18,0.8,23.262,M,-28.725,M,1.0,0061*59",0
420,1707497536.0,GPS1_Frame,42.338239103333336,-71.08650705666666,23.259,328114.9748065508,4689440.010949817,19,T,0.8,"$GNGGA,165216.00,4220.2943462,N,07105.1904234,W,5,18,0.8,23.259,M,-28.725,M,1.0,0061*50",0
421,1707497537.0,GPS1_Frame,42.33823903166667,-71.08650705,23.258,328114.9751604984,4689440.002978303,19,T,0.8,"$GNGGA,165217.00,4220.2943419,N,07105.1904230,W,5,18,0.8,23.258,M,-28.725,M,1.0,0061*58",0
422,1707497538.0,GPS1_Frame,42.338238993333334,-71.08650706,23.253,328114.97423222405,4689439.998741892,19,T,0.8,"$GNGGA,165218.00,4220.2943396,N,07105.1904236,W,5,18,0.8,23.253,M,-28.725,M,1.0,0061*5A",0
423,1707497539.0,GPS1_Frame,42.33823899666667,-71.08650709,23.247,328114.971769823,4689439.999172677,19,T,0.8,"$GNGGA,165219.00,4220.2943398,N,07105.1904254,W,5,18,0.8,23.247,M,-28.725,M,1.0,0061*54",0
424,1707497540.0,GPS1_Frame,42.33823897833334,-71.086507105,23.243,328114.9704841282,4689439.997167224,19,T,0.8,"$GNGGA,165220.00,4220.2943387,N,07105.1904263,W,5,18,0.8,23.243,M,-28.725,M,1.0,0061*50",0
