seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gngga_read,fix_quality
398,1707843119.0,GPS1_Frame,42.33823990333333,-71.086507635,23.325,328114.92934162775,4689440.100952806,19,T,0.8,"$GNGGA,165159.00,4220.2943942,N,07105.1904581,W,5,18,0.8,23.325,M,-28.725,M,1.0,0061*54",5
399,1707843120.0,GPS1_Frame,42.33823988,-71.086507645,23.329,328114.928454224,4689440.0983820325,19,T,0.8,"$GNGGA,165200.00,4220.2943928,N,07105.1904587,W,5,18,0.8,23.329,M,-28.725,M,1.0,0061*5D",5
400,1707843121.0,GPS1_Frame,42.338239905,-71.08650764333333,23.333,328114.928659646,4689440.101154723,19,T,0.8,"$GNGGA,165201.00,4220.2943943,N,07105.1904586,W,5,18,0.8,23.333,M,-28.725,M,2.0,0061*58",5
401,1707843122.0,GPS1_Frame,42.338239875,-71.08650757666666,23.335,328114.9340700902,4689440.097688686,19,T,0.8,"$GNGGA,165202.00,4220.2943925,N,07105.1904546,W,5,18,0.8,23.335,M,-28.725,M,1.0,0061*52",5
402,1707843123.0,GPS1_Frame,42.33823987,-71.08650750666666,23.331,328114.93982325844,4689440.096991972,19,T,0.8,"$GNGGA,165203.00,4220.2943922,N,07105.1904504,W,5,18,0.8,23.331,M,-28.725,M,2.0,0061*55",5
403,1707843124.0,GPS1_Frame,42.338239845,-71.08650748166667,23.336,328114.9418147073,4689440.0941653745,19,T,0.8,"$GNGGA,165204.00,4220.2943907,N,07105.1904489,W,5,18,0.8,23.336,M,-28.725,M,1.0,0061*55",5
404,1707843125.0,GPS1_Frame,42.33823981333333,-71.08650746666666,23.328,328114.94296416646,4689440.090618711,19,T,0.8,"$GNGGA,165205.00,4220.2943888,N,07105.1904480,W,5,18,0.8,23.328,M,-28.725,M,2.0,0061*57",5
405,1707843126.0,GPS1_Frame,42.33823972333333,-71.08650742166667,23.323,328114.9464261674,4689440.080533929,19,T,0.8,"$GNGGA,165206.00,4220.2943834,N,07105.1904453,W,5,18,0.8,23.323,M,-28.725,M,1.0,0061*55",5
406,1707843127.0,GPS1_Frame,42.338239613333336,-71.08650737833334,23.32,328114.94969636784,4689440.068231671,19,T,0.8,"$GNGGA,165207.00,4220.2943768,N,07105.1904427,W,5,18,0.8,23.320,M,-28.725,M,1.0,0061*52",5
407,1707843128.0,GPS1_Frame,42.33823947166667,-71.08650728166667,23.312,328114.9572740317,4689440.052305258,19,T,0.8,"$GNGGA,165208.00,4220.2943683,N,07105.1904369,W,5,18,0.8,23.312,M,-28.725,M,2.0,0061*56",5
408,1707843129.0,GPS1_Frame,42.33823940333333,-71.08650721,23.307,328114.96299194323,4689440.044572489,19,T,0.8,"$GNGGA,165209.00,4220.2943642,N,07105.1904326,W,5,18,0.8,23.307,M,-28.725,M,1.0,0061*56",5
