seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,fix_quality
193,1711305343.1702075,GPS1_Frame,42.34185333333333,-71.09170666666667,16.2,327696.48919118714,4689851.867873787,19,T,1.1,"$GPGGA,183543.000,4220.5112,N,07105.5024,W,1,09,1.1,16.2,M,-33.8,M,,0000*5C",
194,1711305344.1680012,GPS1_Frame,42.341953333333336,-71.091645,16.4,327701.84233347257,4689862.847153213,19,T,1.1,"$GPGGA,183544.000,4220.5172,N,07105.4987,W,1,09,1.1,16.4,M,-33.8,M,,0000*5A",
195,1711305345.1698818,GPS1_Frame,42.342058333333334,-71.09159166666667,16.5,327706.52263632556,4689874.398535691,19,T,1.1,"$GPGGA,183545.000,4220.5235,N,07105.4955,W,1,09,1.1,16.5,M,-33.8,M,,0000*55",
196,1711305346.1690247,GPS1_Frame,42.34216833333333,-71.091545,16.6,327710.6673983012,4689886.51864266,19,T,1.1,"$GPGGA,183546.000,4220.5301,N,07105.4927,W,1,09,1.1,16.6,M,-33.8,M,,0000*56",
197,1711305347.1702244,GPS1_Frame,42.34228,-71.09150666666666,16.6,327714.1302207554,4689898.840708893,19,T,1.1,"$GPGGA,183547.000,4220.5368,N,07105.4904,W,1,09,1.1,16.6,M,-33.8,M,,0000*59",
198,1711305348.1687102,GPS1_Frame,42.342395,-71.09147833333333,16.7,327716.77836392634,4689911.553181497,19,T,1.1,"$GPGGA,183548.000,4220.5437,N,07105.4887,W,1,09,1.1,16.7,M,-33.8,M,,0000*50",
199,1711305349.1702144,GPS1_Frame,42.342513333333336,-71.09146333333334,16.4,327718.337241377,4689924.662814048,19,T,1.1,"$GPGGA,183549.000,4220.5508,N,07105.4878,W,1,09,1.1,16.4,M,-33.8,M,,0000*5F",
200,1711305350.169245,GPS1_Frame,42.342635,-71.09145833333334,16.2,327719.08144927793,4689938.162851657,19,T,1.1,"$GPGGA,183550.000,4220.5581,N,07105.4875,W,1,09,1.1,16.2,M,-33.8,M,,0000*5D",
201,1711305351.17087,GPS1_Frame,42.342753333333334,-71.091455,16.1,327719.6792568502,4689951.296125072,19,T,1.1,"$GPGGA,183551.000,4220.5652,N,07105.4873,W,1,09,1.1,16.1,M,-33.8,M,,0000*54",
202,1711305352.1689942,GPS1_Frame,42.342868333333335,-71.09145166666667,16.0,327720.2679593937,4689964.059257092,19,T,1.1,"$GPGGA,183552.000,4220.5721,N,07105.4871,W,1,09,1.1,16.0,M,-33.8,M,,0000*51",
203,1711305353.1687465,GPS1_Frame,42.34298,-71.09144,15.8,327721.53402840847,4689976.435361915,19,T,1.1,"$GPGGA,183553.000,4220.5788,N,07105.4864,W,1,09,1.1,15.8,M,-33.8,M,,0000*5C",
204,1711305354.1698868,GPS1_Frame,42.343086666666665,-71.09142,15.6,327723.4729080203,4689988.239368963,19,T,1.1,"$GPGGA,183554.000,4220.5852,N,07105.4852,W,1,09,1.1,15.6,M,-33.8,M,,0000*58",
205,1711305355.1698604,GPS1_Frame,42.34319,-71.09138833333333,15.4,327726.3637349957,4689999.649595363,19,T,1.1,"$GPGGA,183555.000,4220.5914,N,07105.4833,W,1,09,1.1,15.4,M,-33.8,M,,0000*5F",
206,1711305356.1679616,GPS1_Frame,42.343288333333334,-71.09134666666667,15.4,327730.0646591664,4690010.484348324,19,T,1.1,"$GPGGA,183556.000,4220.5973,N,07105.4808,W,1,09,1.1,15.4,M,-33.8,M,,0000*55",
207,1711305357.1692476,GPS1_Frame,42.343385,-71.09129166666666,15.3,327734.8593683819,4690021.107016843,19,T,1.1,"$GPGGA,183557.000,4220.6031,N,07105.4775,W,1,09,1.1,15.3,M,-33.8,M,,0000*5A",
208,1711305358.169382,GPS1_Frame,42.34347666666667,-71.09123,15.2,327740.18958119384,4690031.1609686,19,T,1.1,"$GPGGA,183558.000,4220.6086,N,07105.4738,W,1,09,1.1,15.2,M,-33.8,M,,0000*51",
209,1711305359.1694117,GPS1_Frame,42.343561666666666,-71.09116166666666,15.1,327746.0507445401,4690040.461133924,19,T,1.1,"$GPGGA,183559.000,4220.6137,N,07105.4697,W,1,09,1.1,15.1,M,-33.8,M,,0000*5C",
210,1711305360.1687818,GPS1_Frame,42.343645,-71.091085,15.0,327752.5938056546,4690049.559350036,19,T,1.1,"$GPGGA,183600.000,4220.6187,N,07105.4651,W,1,09,1.1,15.0,M,-33.8,M,,0000*53",
211,1711305361.170887,GPS1_Frame,42.34372833333333,-71.09100666666667,15.0,327759.27414307103,4690058.6541954195,19,T,1.1,"$GPGGA,183601.000,4220.6237,N,07105.4604,W,1,09,1.1,15.0,M,-33.8,M,,0000*5A",
212,1711305362.1702068,GPS1_Frame,42.34381666666667,-71.090935,15.0,327765.41894778336,4690068.317764655,19,T,1.1,"$GPGGA,183602.000,4220.6290,N,07105.4561,W,1,09,1.1,15.0,M,-33.8,M,,0000*54",
213,1711305363.1683328,GPS1_Frame,42.343905,-71.09088,15.0,327770.19081350503,4690078.01510133,19,T,1.1,"$GPGGA,183603.000,4220.6343,N,07105.4528,W,1,09,1.1,15.0,M,-33.8,M,,0000*57",
214,1711305364.1704564,GPS1_Frame,42.343986666666666,-71.09084166666666,15.0,327773.5715414772,4690087.005919435,19,T,1.1,"$GPGGA,183604.000,4220.6392,N,07105.4505,W,1,09,1.1,15.0,M,-33.8,M,,0000*53",
215,1711305365.1715064,GPS1_Frame,42.34406333333333,-71.09081166666667,15.0,327776.25214874593,4690095.4584072,19,T,1.1,"$GPGGA,183605.000,4220.6438,N,07105.4487,W,1,09,1.1,15.0,M,-33.8,M,,0000*5E",
216,1711305366.1711323,GPS1_Frame,42.344141666666665,-71.09078333333333,15.1,327778.8000095597,4690104.099342852,19,T,1.1,"$GPGGA,183606.000,4220.6485,N,07105.4470,W,1,09,1.1,15.1,M,-33.8,M,,0000*52",
217,1711305367.1719549,GPS1_Frame,42.34422333333333,-71.09075333333334,15.1,327781.49425841204,4690113.1070449995,19,T,1.1,"$GPGGA,183607.000,4220.6534,N,07105.4452,W,1,09,1.1,15.1,M,-33.8,M,,0000*58",
218,1711305368.171077,GPS1_Frame,42.34430833333333,-71.09072666666667,15.2,327783.9230202145,4690122.491641817,19,T,1.1,"$GPGGA,183608.000,4220.6585,N,07105.4436,W,1,09,1.1,15.2,M,-33.8,M,,0000*5C",
219,1711305369.171415,GPS1_Frame,42.34439666666667,-71.09070833333334,15.2,327785.6744221428,4690132.2632610025,19,T,1.1,"$GPGGA,183609.000,4220.6638,N,07105.4425,W,1,09,1.1,15.2,M,-33.8,M,,0000*5A",
220,1711305370.1707704,GPS1_Frame,42.34449,-71.09070166666666,15.1,327786.47843575175,4690142.613724935,19,T,1.1,"$GPGGA,183610.000,4220.6694,N,07105.4421,W,1,09,1.1,15.1,M,-33.8,M,,0000*53",
221,1711305371.170525,GPS1_Frame,42.344586666666665,-71.09070333333334,15.1,327786.6050959497,4690153.351210616,19,T,1.1,"$GPGGA,183611.000,4220.6752,N,07105.4422,W,1,09,1.1,15.1,M,-33.8,M,,0000*5A",
222,1711305372.1696448,GPS1_Frame,42.344685,-71.09070333333334,15.2,327786.8735985436,4690164.270391341,19,T,1.1,"$GPGGA,183612.000,4220.6811,N,07105.4422,W,1,09,1.1,15.2,M,-33.8,M,,0000*52",
223,1711305373.1728764,GPS1_Frame,42.344786666666664,-71.09069166666667,15.3,327788.1122359758,4690175.536082169,19,T,1.1,"$GPGGA,183613.000,4220.6872,N,07105.4415,W,1,09,1.1,15.3,M,-33.8,M,,0000*53",
224,1711305374.172122,GPS1_Frame,42.344885,-71.09067166666667,15.3,327790.0282198548,4690186.414751878,19,T,1.1,"$GPGGA,183614.000,4220.6931,N,07105.4403,W,1,09,1.1,15.3,M,-33.8,M,,0000*55",
225,1711305375.1675222,GPS1_Frame,42.344985,-71.09064166666667,15.4,327792.7724894675,4690197.458237645,19,T,1.3,"$GPGGA,183615.000,4220.6991,N,07105.4385,W,1,08,1.3,15.4,M,-33.8,M,,0000*53",
226,1711305376.1710637,GPS1_Frame,42.345083333333335,-71.09061166666666,15.5,327795.51220103167,4690208.31665354,19,T,1.1,"$GPGGA,183616.000,4220.7050,N,07105.4367,W,1,09,1.1,15.5,M,-33.8,M,,0000*5B",
227,1711305377.1697702,GPS1_Frame,42.34518333333333,-71.09058166666667,15.6,327798.25645606185,4690219.360141305,19,T,1.1,"$GPGGA,183617.000,4220.7110,N,07105.4349,W,1,09,1.1,15.6,M,-33.8,M,,0000*50",
228,1711305378.1700325,GPS1_Frame,42.345281666666665,-71.09055666666667,15.9,327800.5842853084,4690230.228686426,19,T,1.1,"$GPGGA,183618.000,4220.7169,N,07105.4334,W,1,09,1.1,15.9,M,-33.8,M,,0000*54",
229,1711305379.1711574,GPS1_Frame,42.345378333333336,-71.09054,16.2,327802.22111270623,4690240.92903998,19,T,1.1,"$GPGGA,183619.000,4220.7227,N,07105.4324,W,1,09,1.1,16.2,M,-33.8,M,,0000*55",
230,1711305380.1700938,GPS1_Frame,42.34548,-71.09053166666666,16.6,327803.1851438652,4690252.201485094,19,T,1.1,"$GPGGA,183620.000,4220.7288,N,07105.4319,W,1,09,1.1,16.6,M,-33.8,M,,0000*50",
231,1711305381.1709652,GPS1_Frame,42.345585,-71.09053333333334,16.9,327803.334542801,4690263.864326436,19,T,1.1,"$GPGGA,183621.000,4220.7351,N,07105.4320,W,1,09,1.1,16.9,M,-33.8,M,,0000*51",
232,1711305382.1694777,GPS1_Frame,42.345688333333335,-71.09054666666667,17.1,327802.5183734026,4690275.365727168,19,T,1.1,"$GPGGA,183622.000,4220.7413,N,07105.4328,W,1,09,1.1,17.1,M,-33.8,M,,0000*52",
233,1711305383.1663191,GPS1_Frame,42.34579,-71.09056833333334,17.2,327801.01121662324,4690286.698936202,19,T,1.3,"$GPGGA,183623.000,4220.7474,N,07105.4341,W,1,08,1.3,17.2,M,-33.8,M,,0000*5D",
234,1711305384.1659784,GPS1_Frame,42.345888333333335,-71.09059666666667,17.3,327798.94581280387,4690297.675507364,19,T,1.3,"$GPGGA,183624.000,4220.7533,N,07105.4358,W,1,08,1.3,17.3,M,-33.8,M,,0000*51",
235,1711305385.1682997,GPS1_Frame,42.345985,-71.09062,17.5,327797.28772918205,4690308.456881021,19,T,1.3,"$GPGGA,183625.000,4220.7591,N,07105.4372,W,1,08,1.3,17.5,M,-33.8,M,,0000*56",
236,1711305386.1666884,GPS1_Frame,42.34607333333334,-71.09063166666667,17.6,327796.5679104001,4690318.289269688,19,T,1.3,"$GPGGA,183626.000,4220.7644,N,07105.4379,W,1,08,1.3,17.6,M,-33.8,M,,0000*56",
237,1711305387.1689677,GPS1_Frame,42.34615333333333,-71.09062833333333,17.7,327797.0609266856,4690327.16592116,19,T,1.3,"$GPGGA,183627.000,4220.7692,N,07105.4377,W,1,08,1.3,17.7,M,-33.8,M,,0000*53",
238,1711305388.167446,GPS1_Frame,42.346225,-71.09061333333334,17.8,327798.4921988818,4690335.093587216,19,T,1.3,"$GPGGA,183628.000,4220.7735,N,07105.4368,W,1,08,1.3,17.8,M,-33.8,M,,0000*51",
239,1711305389.1713972,GPS1_Frame,42.346288333333334,-71.09059166666667,17.8,327800.44986284676,4690342.082395756,19,T,1.1,"$GPGGA,183629.000,4220.7773,N,07105.4355,W,1,09,1.1,17.8,M,-33.8,M,,0000*5F",
240,1711305390.1708333,GPS1_Frame,42.34634666666667,-71.09056166666667,17.7,327803.0803059744,4690348.4991132105,19,T,1.1,"$GPGGA,183630.000,4220.7808,N,07105.4337,W,1,09,1.1,17.7,M,-33.8,M,,0000*5F",
241,1711305391.1713226,GPS1_Frame,42.346396666666664,-71.09052833333334,17.7,327805.9625650401,4690353.983725601,19,T,1.1,"$GPGGA,183631.000,4220.7838,N,07105.4317,W,1,09,1.1,17.7,M,-33.8,M,,0000*5F",
242,1711305392.1691105,GPS1_Frame,42.346435,-71.09049666666667,17.6,327808.6756789363,4690358.176218395,19,T,1.1,"$GPGGA,183632.000,4220.7861,N,07105.4298,W,1,09,1.1,17.6,M,-33.8,M,,0000*57",
243,1711305393.1692922,GPS1_Frame,42.34646333333333,-71.09047,17.4,327810.9496264192,4690361.268413569,19,T,1.1,"$GPGGA,183633.000,4220.7878,N,07105.4282,W,1,09,1.1,17.4,M,-33.8,M,,0000*57",
244,1711305394.1708798,GPS1_Frame,42.34648833333333,-71.09044833333333,17.3,327812.8026110384,4690364.00059436,19,T,1.1,"$GPGGA,183634.000,4220.7893,N,07105.4269,W,1,09,1.1,17.3,M,-33.8,M,,0000*57",
245,1711305395.169635,GPS1_Frame,42.34650666666667,-71.090435,17.3,327813.9509594119,4690366.009369763,19,T,1.1,"$GPGGA,183635.000,4220.7904,N,07105.4261,W,1,09,1.1,17.3,M,-33.8,M,,0000*51",
246,1711305396.1688375,GPS1_Frame,42.346518333333336,-71.09042666666667,17.2,327814.66924563295,4690367.2879883405,19,T,1.1,"$GPGGA,183636.000,4220.7911,N,07105.4256,W,1,09,1.1,17.2,M,-33.8,M,,0000*53",
247,1711305397.1698084,GPS1_Frame,42.346525,-71.09042333333333,17.3,327814.96202058985,4690368.021520883,19,T,1.1,"$GPGGA,183637.000,4220.7915,N,07105.4254,W,1,09,1.1,17.3,M,-33.8,M,,0000*55",
248,1711305398.1695077,GPS1_Frame,42.34652833333333,-71.09042166666667,17.4,327815.10840804636,4690368.388287159,19,T,1.1,"$GPGGA,183638.000,4220.7917,N,07105.4253,W,1,09,1.1,17.4,M,-33.8,M,,0000*58",
249,1711305399.1693997,GPS1_Frame,42.346531666666664,-71.09042,17.5,327815.254795491,4690368.755053436,19,T,1.1,"$GPGGA,183639.000,4220.7919,N,07105.4252,W,1,09,1.1,17.5,M,-33.8,M,,0000*57",
250,1711305400.169122,GPS1_Frame,42.346536666666665,-71.09041833333333,17.5,327815.40573335905,4690369.306890626,19,T,1.1,"$GPGGA,183640.000,4220.7922,N,07105.4251,W,1,09,1.1,17.5,M,-33.8,M,,0000*52",
251,1711305401.1696427,GPS1_Frame,42.346545,-71.090415,17.5,327815.70305859845,4690370.225494109,19,T,1.1,"$GPGGA,183641.000,4220.7927,N,07105.4249,W,1,09,1.1,17.5,M,-33.8,M,,0000*5F",
252,1711305402.1702282,GPS1_Frame,42.346556666666665,-71.09041166666667,17.5,327816.00948461983,4690371.51423942,19,T,1.1,"$GPGGA,183642.000,4220.7934,N,07105.4247,W,1,09,1.1,17.5,M,-33.8,M,,0000*50",
253,1711305403.1696367,GPS1_Frame,42.34656666666667,-71.09040833333333,17.4,327816.3113601284,4690372.617913835,19,T,1.1,"$GPGGA,183643.000,4220.7940,N,07105.4245,W,1,09,1.1,17.4,M,-33.8,M,,0000*51",
254,1711305404.169116,GPS1_Frame,42.34657333333333,-71.090405,17.4,327816.6041347295,4690373.35144644,19,T,1.1,"$GPGGA,183644.000,4220.7944,N,07105.4243,W,1,09,1.1,17.4,M,-33.8,M,,0000*54",
255,1711305405.1690109,GPS1_Frame,42.346576666666664,-71.090405,17.4,327816.6132355529,4690373.721588262,19,T,1.1,"$GPGGA,183645.000,4220.7946,N,07105.4243,W,1,09,1.1,17.4,M,-33.8,M,,0000*57",
256,1711305406.1690543,GPS1_Frame,42.34658,-71.090405,17.3,327816.6223363768,4690374.091730084,19,T,1.1,"$GPGGA,183646.000,4220.7948,N,07105.4243,W,1,09,1.1,17.3,M,-33.8,M,,0000*5D",
257,1711305407.1683273,GPS1_Frame,42.346581666666665,-71.090405,17.3,327816.6268867891,4690374.276800995,19,T,1.1,"$GPGGA,183647.000,4220.7949,N,07105.4243,W,1,09,1.1,17.3,M,-33.8,M,,0000*5D",
258,1711305408.1689045,GPS1_Frame,42.34659,-71.09040833333333,17.3,327816.3750659978,4690375.20890659,19,T,1.1,"$GPGGA,183648.000,4220.7954,N,07105.4245,W,1,09,1.1,17.3,M,-33.8,M,,0000*58",
259,1711305409.1702619,GPS1_Frame,42.34661166666667,-71.090425,17.2,327815.0613576643,4690377.6485838,19,T,1.1,"$GPGGA,183649.000,4220.7967,N,07105.4255,W,1,09,1.1,17.2,M,-33.8,M,,0000*59",
260,1711305410.16957,GPS1_Frame,42.34664166666666,-71.09046166666667,17.1,327812.12296699104,4690381.054122969,19,T,1.1,"$GPGGA,183650.000,4220.7985,N,07105.4277,W,1,09,1.1,17.1,M,-33.8,M,,0000*5E",
261,1711305411.1686425,GPS1_Frame,42.34668166666667,-71.09052,17.1,327807.4271620044,4690385.613972879,19,T,1.1,"$GPGGA,183651.000,4220.8009,N,07105.4312,W,1,09,1.1,17.1,M,-33.8,M,,0000*5F",
262,1711305412.1689003,GPS1_Frame,42.34672666666667,-71.09059666666667,16.8,327801.2348681394,4690390.766172845,19,T,1.1,"$GPGGA,183652.000,4220.8036,N,07105.4358,W,1,09,1.1,16.8,M,-33.8,M,,0000*56",
263,1711305413.1687093,GPS1_Frame,42.34677833333333,-71.09068666666667,16.6,327793.96249927225,4690396.685669974,19,T,1.1,"$GPGGA,183653.000,4220.8067,N,07105.4412,W,1,09,1.1,16.6,M,-33.8,M,,0000*54",
264,1711305414.167669,GPS1_Frame,42.346835,-71.09079,16.5,327785.6055092217,4690403.187396881,19,T,1.1,"$GPGGA,183654.000,4220.8101,N,07105.4474,W,1,09,1.1,16.5,M,-33.8,M,,0000*51",
265,1711305415.1696181,GPS1_Frame,42.346893333333334,-71.09090333333333,16.7,327776.4293714728,4690409.894463105,19,T,1.1,"$GPGGA,183655.000,4220.8136,N,07105.4542,W,1,09,1.1,16.7,M,-33.8,M,,0000*52",
266,1711305416.1666834,GPS1_Frame,42.34695333333333,-71.09102,17.1,327766.9832316215,4690416.793365885,19,T,1.1,"$GPGGA,183656.000,4220.8172,N,07105.4612,W,1,09,1.1,17.1,M,-33.8,M,,0000*50",
267,1711305417.1657321,GPS1_Frame,42.347015,-71.09113666666667,17.1,327757.54166224157,4690423.877352949,19,T,1.3,"$GPGGA,183657.000,4220.8209,N,07105.4682,W,1,08,1.3,17.1,M,-33.8,M,,0000*54",
268,1711305418.1642237,GPS1_Frame,42.347073333333334,-71.09124666666666,17.3,327748.6401487292,4690430.577703954,19,T,1.3,"$GPGGA,183658.000,4220.8244,N,07105.4748,W,1,08,1.3,17.3,M,-33.8,M,,0000*57",
269,1711305419.1636264,GPS1_Frame,42.34712666666667,-71.09134666666667,17.2,327740.5487061106,4690436.702591708,19,T,1.3,"$GPGGA,183659.000,4220.8276,N,07105.4808,W,1,08,1.3,17.2,M,-33.8,M,,0000*5D",
270,1711305420.1634111,GPS1_Frame,42.34717333333333,-71.09142833333334,17.1,327733.9492034178,4690442.05005641,19,T,1.3,"$GPGGA,183700.000,4220.8304,N,07105.4857,W,1,08,1.3,17.1,M,-33.8,M,,0000*5D",
271,1711305421.1671937,GPS1_Frame,42.34722166666667,-71.09148166666667,17.0,327729.6881096811,4690447.525184731,19,T,1.3,"$GPGGA,183701.000,4220.8333,N,07105.4889,W,1,08,1.3,17.0,M,-33.8,M,,0000*5A",
272,1711305422.1689231,GPS1_Frame,42.34727,-71.09151,17.1,327727.4862971284,4690452.949655927,19,T,1.1,"$GPGGA,183702.000,4220.8362,N,07105.4906,W,1,09,1.1,17.1,M,-33.8,M,,0000*59",
273,1711305423.1708162,GPS1_Frame,42.34731333333333,-71.09152333333333,17.3,327726.5063931834,4690457.788519024,19,T,1.1,"$GPGGA,183703.000,4220.8388,N,07105.4914,W,1,09,1.1,17.3,M,-33.8,M,,0000*5D",
274,1711305424.168978,GPS1_Frame,42.34735,-71.09153166666667,17.6,327725.9201334086,4690461.876966502,19,T,1.1,"$GPGGA,183704.000,4220.8410,N,07105.4919,W,1,09,1.1,17.6,M,-33.8,M,,0000*54",
275,1711305425.1686163,GPS1_Frame,42.34737333333333,-71.09153666666667,18.1,327725.57202031766,4690464.47809179,19,T,1.1,"$GPGGA,183705.000,4220.8424,N,07105.4922,W,1,09,1.1,18.1,M,-33.8,M,,0000*52",
276,1711305426.1675944,GPS1_Frame,42.34739,-71.09154,18.2,327725.34298041614,4690466.335555967,19,T,1.1,"$GPGGA,183706.000,4220.8434,N,07105.4924,W,1,09,1.1,18.2,M,-33.8,M,,0000*55",
277,1711305427.170267,GPS1_Frame,42.34740166666667,-71.09154,18.4,327725.3748511153,4690467.631052594,19,T,1.1,"$GPGGA,183707.000,4220.8441,N,07105.4924,W,1,09,1.1,18.4,M,-33.8,M,,0000*50",
278,1711305428.1690228,GPS1_Frame,42.34740166666667,-71.09153833333333,18.3,327725.51213578525,4690467.627675234,19,T,1.1,"$GPGGA,183708.000,4220.8441,N,07105.4923,W,1,09,1.1,18.3,M,-33.8,M,,0000*5F",
279,1711305429.1699793,GPS1_Frame,42.34740166666667,-71.09153833333333,18.3,327725.51213578525,4690467.627675234,19,T,1.1,"$GPGGA,183709.000,4220.8441,N,07105.4923,W,1,09,1.1,18.3,M,-33.8,M,,0000*5E",
280,1711305430.169519,GPS1_Frame,42.34740166666667,-71.09153833333333,18.4,327725.51213578525,4690467.627675234,19,T,1.1,"$GPGGA,183710.000,4220.8441,N,07105.4923,W,1,09,1.1,18.4,M,-33.8,M,,0000*51",
281,1711305431.168735,GPS1_Frame,42.34740166666667,-71.09153833333333,18.4,327725.51213578525,4690467.627675234,19,T,1.1,"$GPGGA,183711.000,4220.8441,N,07105.4923,W,1,09,1.1,18.4,M,-33.8,M,,0000*50",
