seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
27,1706649432.0,GPS1_Frame,42.3385,-71.08617166666667,29.2,328143.31591417734,4689468.303608951,19,T,1.3,"$GPGGA,211712.000,4220.3100,N,07105.1703,W,1,08,1.3,29.2,M,-33.8,M,,0000*5E"
28,1706649433.0,GPS1_Frame,42.33849166666667,-71.08617666666666,29.2,328142.88129966776,4689467.388361532,19,T,1.3,"$GPGGA,211713.000,4220.3095,N,07105.1706,W,1,08,1.3,29.2,M,-33.8,M,,0000*57"
29,1706649434.0,GPS1_Frame,42.33848833333333,-71.08618166666666,28.9,328142.4603065525,4689467.028326046,19,T,1.3,"$GPGGA,211714.000,4220.3093,N,07105.1709,W,1,08,1.3,28.9,M,-33.8,M,,0000*53"
30,1706649435.0,GPS1_Frame,42.33848666666667,-71.086185,28.7,328142.1811579534,4689466.849992618,19,T,1.3,"$GPGGA,211715.000,4220.3092,N,07105.1711,W,1,08,1.3,28.7,M,-33.8,M,,0000*54"
31,1706649436.0,GPS1_Frame,42.338483333333336,-71.08618833333334,28.5,328141.8974688255,4689466.486588561,19,T,1.3,"$GPGGA,211716.000,4220.3090,N,07105.1713,W,1,08,1.3,28.5,M,-33.8,M,,0000*55"
32,1706649437.0,GPS1_Frame,42.33848,-71.08619333333333,28.3,328141.4764756061,4689466.126553131,19,T,1.3,"$GPGGA,211717.000,4220.3088,N,07105.1716,W,1,08,1.3,28.3,M,-33.8,M,,0000*5E"
33,1706649438.0,GPS1_Frame,42.338475,-71.08619666666667,28.2,328141.1882458823,4689465.578078465,19,T,1.3,"$GPGGA,211718.000,4220.3085,N,07105.1718,W,1,08,1.3,28.2,M,-33.8,M,,0000*53"
34,1706649439.0,GPS1_Frame,42.33846666666667,-71.0862,28.1,328140.8909350395,4689464.659462537,19,T,1.3,"$GPGGA,211719.000,4220.3080,N,07105.1720,W,1,08,1.3,28.1,M,-33.8,M,,0000*5F"
35,1706649440.0,GPS1_Frame,42.33846333333334,-71.08620333333333,28.1,328140.6072457646,4689464.296058529,19,T,1.3,"$GPGGA,211720.000,4220.3078,N,07105.1722,W,1,08,1.3,28.1,M,-33.8,M,,0000*50"
36,1706649441.0,GPS1_Frame,42.33846,-71.08620666666667,28.0,328140.32355645683,4689463.932654532,19,T,1.3,"$GPGGA,211721.000,4220.3076,N,07105.1724,W,1,08,1.3,28.0,M,-33.8,M,,0000*58"
