$VNYMR,+135.325,+063.325,+104.692,+00.1724,-00.0651,+00.2805,+00.253,+00.779,-09.939,+00.039496,-00.029921,-00.137238*62
$VNYMR,+135.399,+063.512,+104.811,+00.1705,-00.0640,+00.2771,+00.326,+00.446,-09.823,+00.035740,-00.015487,-00.141034*6E
$VNYMR,+135.418,+063.741,+104.860,+00.1696,-00.0640,+00.2803,+00.338,+00.662,-10.030,+00.021358,-00.037668,-00.155699*65
$VNYMR,+135.410,+063.954,+104.880,+00.1725,-00.0581,+00.2782,+00.361,+00.616,-10.105,+00.018997,-00.039301,-00.135612*62
$VNYMR,+135.457,+064.153,+104.941,+00.1687,-00.0640,+00.2803,+00.364,+00.480,-10.119,+00.010313,-00.006978,-00.142389*60
$VNYMR,+135.547,+064.376,+105.030,+00.1688,-00.0541,+00.2791,+00.380,+00.439,-10.001,+00.005333,-00.003770,-00.163824*68
$VNYMR,+135.682,+064.615,+105.153,+00.1705,-00.0660,+00.2804,+00.334,+00.569,-09.959,-00.006280,-00.002453,-00.176621*66
$VNYMR,+135.813,+064.858,+105.244,+00.1705,-00.0660,+00.2738,+00.400,+00.431,-09.918,-00.016180,-00.006118,-00.178467*69
$VNYMR,+135.950,+065.129,+105.352,+00.1687,-00.0630,+00.2802,+00.217,+00.767,-09.817,-00.003188,-00.018649,-00.181674*67
$VNYMR,+136.054,+065.345,+105.490,+00.1705,-00.0640,+00.2782,+00.315,+00.686,-09.865,+00.042480,-00.012561,-00.144293*62
$VNYMR,+136.177,+065.547,+105.659,+00.1705,-00.0650,+00.2815,+00.460,+00.516,-10.123,+00.040700,+00.022549,-00.143683*69
$VNYMR,+136.361,+065.769,+105.861,+00.1680,-00.0481,+00.2756,+00.469,+00.547,-09.842,+00.014119,-00.001698,-00.172640*6C
$VNYMR,+136.494,+066.026,+106.002,+00.1696,-00.0620,+00.2814,+00.410,+00.585,-09.941,+00.024954,-00.014297,-00.184573*62
$VNYMR,+136.628,+066.293,+106.166,+00.1715,-00.0621,+00.2782,+00.364,+00.899,-10.064,+00.030896,+00.000318,-00.179793*60
$VNYMR,+136.812,+066.519,+106.382,+00.1687,-00.0620,+00.2813,+00.411,+00.723,-09.853,+00.034382,+00.008878,-00.163774*64
$VNYMR,+136.993,+066.745,+106.582,+00.1679,-00.0521,+00.2757,+00.370,+00.654,-09.843,+00.015081,+00.005293,-00.170969*6C
$VNYMR,+137.151,+066.982,+106.749,+00.1678,-00.0600,+00.2824,+00.308,+00.633,-09.700,+00.023079,-00.013132,-00.167736*6E
$VNYMR,+137.243,+067.229,+106.867,+00.1687,-00.0640,+00.2825,+00.363,+00.753,-10.016,+00.022140,-00.017412,-00.169763*66
$VNYMR,+137.391,+067.470,+107.042,+00.1671,-00.0471,+00.2778,+00.358,+00.617,-09.933,+00.027492,-00.009431,-00.174199*63
$VNYMR,+137.450,+067.709,+107.128,+00.1707,-00.0541,+00.2781,+00.388,+00.674,-09.777,+00.026524,-00.054362,-00.156065*6D
$VNYMR,+137.441,+067.932,+107.163,+00.1687,-00.0600,+00.2824,+00.519,+00.535,-10.155,+00.035560,-00.030566,-00.140305*6D
$VNYMR,+137.557,+068.147,+107.323,+00.1707,-00.0522,+00.2802,+00.512,+00.358,-09.990,+00.031055,-00.017258,-00.164159*6C
$VNYMR,+137.653,+068.401,+107.445,+00.1688,-00.0580,+00.2791,+00.431,+00.623,-10.030,+00.021005,-00.032327,-00.176261*63
$VNYMR,+137.725,+068.635,+107.530,+00.1697,-00.0571,+00.2791,+00.475,+00.703,-10.234,+00.012018,-00.013346,-00.150328*60
$VNYMR,+137.860,+068.845,+107.670,+00.1688,-00.0561,+00.2791,+00.444,+00.465,-10.059,+00.007398,-00.000820,-00.158972*6C
$VNYMR,+138.000,+069.090,+107.809,+00.1697,-00.0601,+00.2814,+00.349,+00.718,-09.936,+00.008414,-00.027554,-00.173011*6C
$VNYMR,+138.124,+069.321,+107.945,+00.1660,-00.0590,+00.2811,+00.243,+00.989,-09.981,+00.014779,-00.018463,-00.148811*60
$VNYMR,+138.249,+069.473,+108.077,+00.1679,-00.0570,+00.2801,+00.216,+00.843,-09.827,+00.009159,-00.004316,-00.089460*64
$VNYMR,+138.298,+069.607,+108.132,+00.1668,-00.0620,+00.2812,+00.343,+00.609,-09.637,+00.009120,-00.028077,-00.100211*67
$VNYMR,+138.252,+069.776,+108.109,+00.1708,-00.0452,+00.2813,+00.431,+00.701,-09.881,+00.021145,-00.045148,-00.109853*6D
$VNYMR,+138.179,+069.927,+108.079,+00.1688,-00.0571,+00.2802,+00.445,+00.783,-10.019,+00.029679,-00.053179,-00.086283*6E
$VNYMR,+138.168,+070.059,+108.101,+00.1660,-00.0540,+00.2800,+00.468,+00.833,-10.038,+00.015966,-00.020728,-00.081158*6C
$VNYMR,+138.158,+070.188,+108.106,+00.1687,-00.0610,+00.2824,+00.497,+00.783,-10.013,+00.008146,-00.030307,-00.084452*65
$VNYMR,+138.165,+070.305,+108.125,+00.1687,-00.0620,+00.2769,+00.473,+00.860,-09.928,+00.015518,-00.012146,-00.074992*63
$VNYMR,+138.135,+070.416,+108.105,+00.1707,-00.0521,+00.2781,+00.324,+01.047,-09.926,-00.002887,-00.044101,-00.060974*6D
