seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
27,1706651389.0,GPS1_Frame,42.339978333333335,-71.09093,44.9,327755.3495388797,4689642.089617035,19,T,1.6,"$GPGGA,214949.000,4220.3987,N,07105.4558,W,1,07,1.6,44.9,M,-33.8,M,,0000*5F"
28,1706651390.0,GPS1_Frame,42.339985,-71.09093,44.9,327755.36774278537,4689642.829899961,19,T,1.6,"$GPGGA,214950.000,4220.3991,N,07105.4558,W,1,07,1.6,44.9,M,-33.8,M,,0000*50"
29,1706651391.0,GPS1_Frame,42.33999166666667,-71.09093166666666,44.9,327755.2486458848,4689643.573559183,19,T,1.6,"$GPGGA,214951.000,4220.3995,N,07105.4559,W,1,07,1.6,44.9,M,-33.8,M,,0000*54"
30,1706651392.0,GPS1_Frame,42.339998333333334,-71.09093333333334,44.9,327755.12954901345,4689644.317218407,19,T,1.6,"$GPGGA,214952.000,4220.3999,N,07105.4560,W,1,07,1.6,44.9,M,-33.8,M,,0000*51"
31,1706651393.0,GPS1_Frame,42.340003333333335,-71.09093833333333,45.0,327754.7312996179,4689644.882559508,19,T,1.3,"$GPGGA,214953.000,4220.4002,N,07105.4563,W,1,08,1.3,45.0,M,-33.8,M,,0000*5D"
32,1706651394.0,GPS1_Frame,42.34000833333333,-71.09094,44.8,327754.60765183356,4689645.441148012,19,T,1.3,"$GPGGA,214954.000,4220.4005,N,07105.4564,W,1,08,1.3,44.8,M,-33.8,M,,0000*53"
33,1706651395.0,GPS1_Frame,42.34002,-71.090935,43.7,327755.0514110859,4689646.726514226,19,T,1.3,"$GPGGA,214955.000,4220.4012,N,07105.4561,W,1,08,1.3,43.7,M,-33.8,M,,0000*59"
34,1706651396.0,GPS1_Frame,42.34002666666667,-71.09093666666666,43.8,327754.9323143174,4689647.470173459,19,T,1.3,"$GPGGA,214956.000,4220.4016,N,07105.4562,W,1,08,1.3,43.8,M,-33.8,M,,0000*52"
35,1706651397.0,GPS1_Frame,42.34003333333333,-71.09093833333333,43.7,327754.8132175782,4689648.213832695,19,T,1.3,"$GPGGA,214957.000,4220.4020,N,07105.4563,W,1,08,1.3,43.7,M,-33.8,M,,0000*58"
36,1706651398.0,GPS1_Frame,42.34004,-71.09093833333333,43.8,327754.8314215758,4689648.954115629,19,T,1.3,"$GPGGA,214958.000,4220.4024,N,07105.4563,W,1,08,1.3,43.8,M,-33.8,M,,0000*5C"
37,1706651399.0,GPS1_Frame,42.340048333333336,-71.09094,43.8,327754.7168758889,4689649.882845602,19,T,1.3,"$GPGGA,214959.000,4220.4029,N,07105.4564,W,1,08,1.3,43.8,M,-33.8,M,,0000*57"
