seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,fix_quality
27,1706726360.0,GPS1_Frame,41.97363,-87.90026833333333,134.9,425410.8135523588,4647240.325819691,16,T,1.9,"$GPGGA,183920.000,4158.4178,N,08754.0161,W,1,06,1.9,134.9,M,-34.1,M,,0000*6F",
28,1706726361.0,GPS1_Frame,41.973621666666666,-87.90026666666667,135.7,425410.9419168296,4647239.399120023,16,T,1.9,"$GPGGA,183921.000,4158.4173,N,08754.0160,W,1,06,1.9,135.7,M,-34.1,M,,0000*6B",
29,1706726362.0,GPS1_Frame,41.97361333333333,-87.900265,136.4,425411.07028134004,4647238.472420358,16,T,1.9,"$GPGGA,183922.000,4158.4168,N,08754.0159,W,1,06,1.9,136.4,M,-34.1,M,,0000*68",
30,1706726363.0,GPS1_Frame,41.973605,-87.90026333333333,137.2,425411.19864588813,4647237.545720698,16,T,1.9,"$GPGGA,183923.000,4158.4163,N,08754.0158,W,1,06,1.9,137.2,M,-34.1,M,,0000*64",
31,1706726364.0,GPS1_Frame,41.973596666666666,-87.90026166666667,137.9,425411.3270104695,4647236.619021041,16,T,1.9,"$GPGGA,183924.000,4158.4158,N,08754.0157,W,1,06,1.9,137.9,M,-34.1,M,,0000*6F",
32,1706726365.0,GPS1_Frame,41.97359,-87.90026,138.5,425411.4573198173,4647235.877371082,16,T,1.9,"$GPGGA,183925.000,4158.4154,N,08754.0156,W,1,06,1.9,138.5,M,-34.1,M,,0000*60",
33,1706726366.0,GPS1_Frame,41.97358166666667,-87.90026,139.2,425411.447596195,4647234.952122629,16,T,1.9,"$GPGGA,183926.000,4158.4149,N,08754.0156,W,1,06,1.9,139.2,M,-34.1,M,,0000*69",
34,1706726367.0,GPS1_Frame,41.973573333333334,-87.90025833333334,139.9,425411.5759608693,4647234.025422983,16,T,1.9,"$GPGGA,183927.000,4158.4144,N,08754.0155,W,1,06,1.9,139.9,M,-34.1,M,,0000*6D",
35,1706726368.0,GPS1_Frame,41.97356666666667,-87.90025666666666,140.6,425411.7062702999,4647233.283773029,16,T,1.9,"$GPGGA,183928.000,4158.4140,N,08754.0154,W,1,06,1.9,140.6,M,-34.1,M,,0000*66",
36,1706726369.0,GPS1_Frame,41.97356,-87.900255,141.2,425411.83657975815,4647232.54212308,16,T,1.9,"$GPGGA,183929.000,4158.4136,N,08754.0153,W,1,06,1.9,141.2,M,-34.1,M,,0000*64",
37,1706726370.0,GPS1_Frame,41.973551666666665,-87.900255,141.9,425411.8268561955,4647231.616874632,16,T,1.9,"$GPGGA,183930.000,4158.4131,N,08754.0153,W,1,06,1.9,141.9,M,-34.1,M,,0000*60",
38,1706726371.0,GPS1_Frame,41.973545,-87.90025333333334,142.5,425411.95716570504,4647230.875224688,16,T,1.9,"$GPGGA,183931.000,4158.4127,N,08754.0152,W,1,06,1.9,142.5,M,-34.1,M,,0000*68",
39,1706726372.0,GPS1_Frame,41.97353833333333,-87.90025166666666,143.2,425412.0874752422,4647230.1335747475,16,T,1.9,"$GPGGA,183932.000,4158.4123,N,08754.0151,W,1,06,1.9,143.2,M,-34.1,M,,0000*6A",
40,1706726373.0,GPS1_Frame,41.97353,-87.90025,143.8,425412.2158401084,4647229.206875121,16,T,1.9,"$GPGGA,183933.000,4158.4118,N,08754.0150,W,1,06,1.9,143.8,M,-34.1,M,,0000*68",
41,1706726374.0,GPS1_Frame,41.97352333333333,-87.90025,144.4,425412.20806130604,4647228.466676368,16,T,1.9,"$GPGGA,183934.000,4158.4114,N,08754.0150,W,1,06,1.9,144.4,M,-34.1,M,,0000*68",
42,1706726375.0,GPS1_Frame,41.97351666666667,-87.90024833333334,145.0,425412.3383709242,4647227.725026434,16,T,1.9,"$GPGGA,183935.000,4158.4110,N,08754.0149,W,1,06,1.9,145.0,M,-34.1,M,,0000*60",
43,1706726376.0,GPS1_Frame,41.97351,-87.90024666666666,145.6,425412.4686805722,4647226.983376505,16,T,1.9,"$GPGGA,183936.000,4158.4106,N,08754.0148,W,1,06,1.9,145.6,M,-34.1,M,,0000*63",
44,1706726377.0,GPS1_Frame,41.973505,-87.90024666666666,146.2,425412.46284649416,4647226.428227442,16,T,1.9,"$GPGGA,183937.000,4158.4103,N,08754.0148,W,1,06,1.9,146.2,M,-34.1,M,,0000*60",
45,1706726378.0,GPS1_Frame,41.97349833333333,-87.900245,146.7,425412.59315617935,4647225.686577518,16,T,1.9,"$GPGGA,183938.000,4158.4099,N,08754.0147,W,1,06,1.9,146.7,M,-34.1,M,,0000*67",
46,1706726379.0,GPS1_Frame,41.973495,-87.900245,147.0,425412.589266802,4647225.316478143,16,T,1.9,"$GPGGA,183939.000,4158.4097,N,08754.0147,W,1,06,1.9,147.0,M,-34.1,M,,0000*6E",
47,1706726380.0,GPS1_Frame,41.97349166666667,-87.90024333333334,147.3,425412.72346589854,4647224.9449275965,16,T,1.9,"$GPGGA,183940.000,4158.4095,N,08754.0146,W,1,06,1.9,147.3,M,-34.1,M,,0000*60",
48,1706726381.0,GPS1_Frame,41.973488333333336,-87.90024333333334,147.6,425412.71957652894,4647224.574828221,16,T,1.9,"$GPGGA,183941.000,4158.4093,N,08754.0146,W,1,06,1.9,147.6,M,-34.1,M,,0000*62",
49,1706726382.0,GPS1_Frame,41.973483333333334,-87.90024166666667,147.9,425412.85183096444,4647224.018227991,16,T,1.9,"$GPGGA,183942.000,4158.4090,N,08754.0145,W,1,06,1.9,147.9,M,-34.1,M,,0000*6E",
50,1706726383.0,GPS1_Frame,41.973483333333334,-87.90024166666667,148.1,425412.85183096444,4647224.018227991,16,T,1.9,"$GPGGA,183943.000,4158.4090,N,08754.0145,W,1,06,1.9,148.1,M,-34.1,M,,0000*68",
51,1706726384.0,GPS1_Frame,41.973481666666665,-87.90024166666667,148.2,425412.8498862835,4647223.833178304,16,T,1.9,"$GPGGA,183944.000,4158.4089,N,08754.0145,W,1,06,1.9,148.2,M,-34.1,M,,0000*64",
52,1706726385.0,GPS1_Frame,41.97348,-87.90024166666667,148.3,425412.8479416027,4647223.648128618,16,T,1.9,"$GPGGA,183945.000,4158.4088,N,08754.0145,W,1,06,1.9,148.3,M,-34.1,M,,0000*65",
53,1706726386.0,GPS1_Frame,41.97348,-87.90024166666667,148.3,425412.8479416027,4647223.648128618,16,T,1.9,"$GPGGA,183946.000,4158.4088,N,08754.0145,W,1,06,1.9,148.3,M,-34.1,M,,0000*66",
