seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gngga_read,fix_quality
84,1707843763.0,GPS1_Frame,42.33830216166667,-71.08637127833333,24.026,328126.3324043789,4689446.738633755,19,T,1.1,"$GNGGA,170243.00,4220.2981297,N,07105.1822767,W,5,13,1.1,24.026,M,-28.725,M,1.0,0061*5E",5
85,1707843764.0,GPS1_Frame,42.338308358333336,-71.08636363666666,23.919,328126.97882829,4689447.411279968,19,T,1.0,"$GNGGA,170244.00,4220.2985015,N,07105.1818182,W,5,13,1.0,23.919,M,-28.725,M,2.0,0061*51",5
86,1707843765.0,GPS1_Frame,42.33831472666667,-71.086356095,23.799,328127.6174815207,4689448.103190649,19,T,1.1,"$GNGGA,170245.00,4220.2988836,N,07105.1813657,W,5,13,1.1,23.799,M,-28.725,M,1.0,0061*54",5
87,1707843766.0,GPS1_Frame,42.338321021666665,-71.08634869166667,23.721,328128.24453856563,4689448.787237893,19,T,1.1,"$GNGGA,170246.00,4220.2992613,N,07105.1809215,W,5,12,1.1,23.721,M,-28.725,M,2.0,0061*5D",5
88,1707843767.0,GPS1_Frame,42.338327585,-71.08634112666667,23.584,328128.88564509025,4689449.500754785,19,T,1.1,"$GNGGA,170247.00,4220.2996551,N,07105.1804676,W,5,12,1.1,23.584,M,-28.725,M,1.0,0061*5F",5
89,1707843768.0,GPS1_Frame,42.33833404666667,-71.08633341666666,23.51,328129.53841997945,4689450.202689332,19,T,1.0,"$GNGGA,170248.00,4220.3000428,N,07105.1800050,W,5,13,1.0,23.510,M,-28.725,M,1.0,0061*53",5
90,1707843769.0,GPS1_Frame,42.338340425,-71.086325275,23.432,328130.22652953153,4689450.894497877,19,T,1.0,"$GNGGA,170249.00,4220.3004255,N,07105.1795165,W,5,13,1.0,23.432,M,-28.725,M,2.0,0061*5C",5
91,1707843770.0,GPS1_Frame,42.33834735666667,-71.08631726166666,23.504,328130.9055740532,4689451.648009338,19,T,1.0,"$GNGGA,170250.00,4220.3008414,N,07105.1790357,W,5,13,1.0,23.504,M,-28.725,M,1.0,0061*5A",5
92,1707843771.0,GPS1_Frame,42.338354255,-71.08630991666666,23.585,328131.5294685784,4689452.399170338,19,T,1.0,"$GNGGA,170251.00,4220.3012553,N,07105.1785950,W,5,14,1.0,23.585,M,-28.725,M,2.0,0061*56",5
93,1707843772.0,GPS1_Frame,42.33836117166667,-71.086301785,23.475,328132.2182205601,4689453.150777099,19,T,1.0,"$GNGGA,170252.00,4220.3016703,N,07105.1781071,W,5,14,1.0,23.475,M,-28.725,M,1.0,0061*55",5
94,1707843773.0,GPS1_Frame,42.338368225,-71.08629386,23.413,328132.890319005,4689453.917977444,19,T,1.1,"$GNGGA,170253.00,4220.3020935,N,07105.1776316,W,5,13,1.1,23.413,M,-28.725,M,1.0,0061*56",5
95,1707843774.0,GPS1_Frame,42.33837506333333,-71.08628599166667,23.355,328133.55716320506,4689454.661418274,19,T,1.0,"$GNGGA,170254.00,4220.3025038,N,07105.1771595,W,5,14,1.0,23.355,M,-28.725,M,2.0,0061*5A",5
96,1707843775.0,GPS1_Frame,42.338382,-71.086277735,23.232,328134.25626706704,4689455.414993415,19,T,1.1,"$GNGGA,170255.00,4220.3029200,N,07105.1766641,W,5,12,1.1,23.232,M,-28.725,M,1.0,0061*56",5
97,1707843776.0,GPS1_Frame,42.338389291666665,-71.08626922,23.049,328134.9776201071,4689456.20746651,19,T,1.6,"$GNGGA,170256.00,4220.3033575,N,07105.1761532,W,5,12,1.6,23.049,M,-28.725,M,2.0,0061*51",5
98,1707843777.0,GPS1_Frame,42.33839684833333,-71.08626112333333,22.947,328135.6652315884,4689457.030211458,19,T,1.0,"$GNGGA,170257.00,4220.3038109,N,07105.1756674,W,5,13,1.0,22.947,M,-28.725,M,1.0,0061*53",5
